# Hierarchy: NH Interactions: LNC+LNV M1: 1 DM/M: -8.2 y: -5.9 theta: 1.2 delta: 3.1 phi: 5.2
# t asym mu_e mu_mu mu_tau r11 r22 Re(r12) Im(r12) rb11 rb22 Re(rb12) Im(r12) Smooth-Sphaleron-Asym
0 0 0 0 0 0 0 0 0 0 0 0 0 0
2e-08 -3.19144e-32 6.62953e-28 4.64282e-27 -5.3311e-27 7.34607e-07 7.39219e-07 -5.93087e-09 7.36858e-07 7.34607e-07 7.39219e-07 -5.93087e-09 -7.36858e-07 0
2.202e-07 -3.79951e-30 8.72531e-26 6.11214e-25 -7.01482e-25 8.08869e-06 8.13947e-06 -6.53043e-08 8.11348e-06 8.08869e-06 8.13947e-06 -6.53043e-08 -8.11348e-06 0
4.22402e-07 -1.14396e-29 5.11457e-25 3.58773e-24 -4.10827e-24 1.55176e-05 1.5615e-05 -1.25281e-07 1.55651e-05 1.55176e-05 1.5615e-05 -1.25281e-07 -1.55651e-05 0
6.26626e-07 1.88168e-29 1.62947e-24 1.14574e-23 -1.3072e-23 2.3022e-05 2.31665e-05 -1.85869e-07 2.30925e-05 2.3022e-05 2.31665e-05 -1.85869e-07 -2.30925e-05 0
8.32892e-07 1.25302e-28 3.79432e-24 2.66944e-23 -3.03893e-23 3.06027e-05 3.07948e-05 -2.47072e-07 3.06965e-05 3.06027e-05 3.07948e-05 -2.47072e-07 -3.06965e-05 0
1.04122e-06 1.56678e-28 7.42649e-24 5.22261e-23 -5.95282e-23 3.82606e-05 3.85007e-05 -3.08898e-07 3.83778e-05 3.82606e-05 3.85007e-05 -3.08898e-07 -3.83778e-05 0
1.25163e-06 -1.10566e-28 1.29878e-23 9.11024e-23 -1.04178e-22 4.59962e-05 4.6285e-05 -3.71352e-07 4.61372e-05 4.59962e-05 4.6285e-05 -3.71352e-07 -4.61372e-05 0
1.46415e-06 -2.71752e-28 2.09598e-23 1.47083e-22 -1.68259e-22 5.38106e-05 5.41484e-05 -4.34441e-07 5.39754e-05 5.38106e-05 5.41484e-05 -4.34441e-07 -5.39754e-05 0
1.67879e-06 -4.37018e-28 3.18871e-23 2.23858e-22 -2.56092e-22 6.17044e-05 6.20917e-05 -4.98172e-07 6.18934e-05 6.17044e-05 6.20917e-05 -4.98172e-07 -6.18934e-05 0
1.89558e-06 -7.52779e-28 4.63538e-23 3.25471e-22 -3.72422e-22 6.96784e-05 7.01159e-05 -5.62551e-07 6.98919e-05 6.96784e-05 7.01159e-05 -5.62551e-07 -6.98919e-05 0
2.11453e-06 -1.06929e-27 6.49998e-23 4.56444e-22 -5.22293e-22 7.77336e-05 7.82216e-05 -6.27585e-07 7.79718e-05 7.77336e-05 7.82216e-05 -6.27585e-07 -7.79718e-05 0
2.33568e-06 -8.70354e-28 8.85328e-23 6.2197e-22 -7.11193e-22 8.58707e-05 8.64098e-05 -6.9328e-07 8.61338e-05 8.58707e-05 8.64098e-05 -6.9328e-07 -8.61338e-05 0
2.55904e-06 -4.50773e-28 1.17688e-22 8.27233e-22 -9.45279e-22 9.40905e-05 9.46812e-05 -7.59643e-07 9.43788e-05 9.40905e-05 9.46812e-05 -7.59643e-07 -9.43788e-05 0
2.78463e-06 -6.37348e-28 1.53267e-22 1.07727e-21 -1.23105e-21 0.000102394 0.000103037 -8.2668e-07 0.000102708 0.000102394 0.000103037 -8.2668e-07 -0.000102708 0
3.01247e-06 -8.07777e-28 1.96165e-22 1.37875e-21 -1.57555e-21 0.000110782 0.000111477 -8.94399e-07 0.000111121 0.000110782 0.000111477 -8.94399e-07 -0.000111121 0
3.2426e-06 -1.07721e-27 2.4733e-22 1.73826e-21 -1.98645e-21 0.000119255 0.000120003 -9.62807e-07 0.00011962 0.000119255 0.000120003 -9.62807e-07 -0.00011962 0
3.47502e-06 -1.74744e-27 3.07784e-22 2.1628e-21 -2.47197e-21 0.000127814 0.000128616 -1.03191e-06 0.000128206 0.000127814 0.000128616 -1.03191e-06 -0.000128206 0
3.70977e-06 -8.73034e-28 3.7866e-22 2.66122e-21 -3.04057e-21 0.00013646 0.000137317 -1.10172e-06 0.000136879 0.00013646 0.000137317 -1.10172e-06 -0.000136879 0
3.94687e-06 -9.22971e-31 4.61101e-22 3.24103e-21 -3.70213e-21 0.000145195 0.000146106 -1.17223e-06 0.00014564 0.000145195 0.000146106 -1.17223e-06 -0.00014564 0
4.18634e-06 7.87353e-28 5.56472e-22 3.91138e-21 -4.46723e-21 0.000154018 0.000154985 -1.24347e-06 0.00015449 0.000154018 0.000154985 -1.24347e-06 -0.00015449 0
4.4282e-06 1.34633e-27 6.66092e-22 4.68186e-21 -5.34688e-21 0.00016293 0.000163953 -1.31542e-06 0.00016343 0.00016293 0.000163953 -1.31542e-06 -0.00016343 0
4.67249e-06 1.93675e-27 7.9146e-22 5.56306e-21 -6.35298e-21 0.000171934 0.000173013 -1.38811e-06 0.000172461 0.000171934 0.000173013 -1.38811e-06 -0.000172461 0
